FPR,TPR,Thresholds
0.0,0.0,inf
0.09090909090909091,0.0,0.68693674
0.09090909090909091,0.09090909090909091,0.67592925
0.6363636363636364,0.09090909090909091,0.56221247
0.6363636363636364,0.2727272727272727,0.532049
0.7272727272727273,0.2727272727272727,0.5249422
0.7272727272727273,0.5454545454545454,0.51421225
0.8181818181818182,0.5454545454545454,0.48317188
0.8181818181818182,0.7272727272727273,0.45901477
0.9090909090909091,0.7272727272727273,0.45755163
0.9090909090909091,0.8181818181818182,0.44226545
1.0,0.8181818181818182,0.44122422
1.0,1.0,0.3845386
